id,title_romaji,title_english,title_native,episodes,score,popularity,genres,status,studio,season,start_year,url
1559,Shijou Saikyou no Deshi Kenichi,Kenichi: The Mightiest Disciple,史上最強の弟子 ケンイチ,50.0,77.0,46128,"Action, Comedy",FINISHED,TMS Entertainment,FALL,2006.0,https://anilist.co/anime/1559
17909,Uchouten Kazoku,The Eccentric Family,有頂天家族,13.0,77.0,46115,"Comedy, Drama, Fantasy, Slice of Life, Supernatural",FINISHED,P.A.WORKS,SUMMER,2013.0,https://anilist.co/anime/17909
139606,Eiyuu Kyoushitsu,Classroom for Heroes,英雄教室,12.0,59.0,46078,"Action, Fantasy, Slice of Life",FINISHED,Actas,SUMMER,2023.0,https://anilist.co/anime/139606
143271,Mahouka Koukou no Rettousei 3rd Season,The Irregular at Magic High School Season 3,魔法科高校の劣等生 第3シーズン,13.0,70.0,45968,"Action, Sci-Fi, Supernatural",FINISHED,8-bit,SPRING,2024.0,https://anilist.co/anime/143271
127412,Taishou Otome Otogibanashi,Taisho Otome Fairy Tale,大正オトメ御伽話,12.0,76.0,45959,"Comedy, Drama, Romance, Slice of Life",FINISHED,SynergySP,FALL,2021.0,https://anilist.co/anime/127412
127366,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,I'm Standing on a Million Lives Season 2,100万の命の上に俺は立っている 第2シーズン,12.0,66.0,45918,"Action, Drama, Fantasy",FINISHED,Maho Film,SUMMER,2021.0,https://anilist.co/anime/127366
113428,Bishounen Tanteidan,Pretty Boy Detective Club,美少年探偵団,12.0,69.0,45917,"Comedy, Mystery, Sci-Fi",FINISHED,Shaft,SPRING,2021.0,https://anilist.co/anime/113428
130549,RE-MAIN,RE-MAIN,RE-MAIN（リメイン）,12.0,69.0,45849,"Drama, Sports",FINISHED,MAPPA,SUMMER,2021.0,https://anilist.co/anime/130549
2924,ef: a tale of memories.,ef ~ A Tale of Memories,ef - a tale of memories.,12.0,75.0,45846,"Drama, Mystery, Psychological, Romance",FINISHED,Shaft,FALL,2007.0,https://anilist.co/anime/2924
19291,Pocket Monsters XY,Pokémon the Series: XY,ポケットモンスターXY,93.0,73.0,45783,"Action, Adventure, Comedy, Fantasy",FINISHED,OLM,FALL,2013.0,https://anilist.co/anime/19291
151189,My Home Hero,My Home Hero,マイホームヒーロー,12.0,68.0,45755,"Action, Drama, Psychological, Thriller",FINISHED,Tezuka Productions,SPRING,2023.0,https://anilist.co/anime/151189
20583,Rail Wars!,Rail Wars!,レールウォーズ,12.0,59.0,45725,"Action, Ecchi, Romance",FINISHED,Passione,SUMMER,2014.0,https://anilist.co/anime/20583
21382,Rewrite,,Rewrite,13.0,62.0,45705,"Drama, Mystery, Romance, Slice of Life, Supernatural",FINISHED,8-bit,SUMMER,2016.0,https://anilist.co/anime/21382
21815,Strike the Blood II,Strike the Blood Second,ストライク・ザ・ブラッド II,8.0,67.0,45647,"Action, Ecchi, Fantasy, Supernatural",FINISHED,SILVER LINK.,FALL,2016.0,https://anilist.co/anime/21815
167419,Naze Boku no Sekai wo Daremo Oboeteinai no ka?,Why Does Nobody Remember Me in This World?,なぜ僕の世界を誰も覚えていないのか？,12.0,62.0,45646,"Action, Adventure, Fantasy, Sci-Fi",FINISHED,project No.9,SUMMER,2024.0,https://anilist.co/anime/167419
9941,TIGER & BUNNY,Tiger & Bunny,TIGER & BUNNY,25.0,77.0,45631,"Action, Comedy, Mecha, Mystery",FINISHED,Sunrise,SPRING,2011.0,https://anilist.co/anime/9941
12113,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Berserk: The Golden Age Arc II - The Battle for Doldrey,ベルセルク 黄金時代篇Ⅱ ドルドレイ攻略,1.0,75.0,45601,"Action, Adventure, Drama, Fantasy, Horror, Supernatural",FINISHED,Studio 4°C,SUMMER,2012.0,https://anilist.co/anime/12113
3701,Kaiba,Kaiba,カイバ,12.0,79.0,45600,"Adventure, Mystery, Psychological, Romance, Sci-Fi",FINISHED,MADHOUSE,SPRING,2008.0,https://anilist.co/anime/3701
143866,Jaku-Chara Tomozaki-kun 2nd STAGE,Bottom-Tier Character Tomozaki 2nd Stage,弱キャラ友崎くん 2nd STAGE,13.0,70.0,45581,"Comedy, Drama, Romance, Slice of Life",FINISHED,project No.9,WINTER,2024.0,https://anilist.co/anime/143866
20800,Yuuki Yuuna wa Yuusha de Aru,Yuki Yuna is a Hero,結城友奈は勇者である,12.0,72.0,45566,"Action, Drama, Fantasy, Mahou Shoujo, Psychological, Slice of Life",FINISHED,Studio Gokumi,FALL,2014.0,https://anilist.co/anime/20800
12431,Uchuu Kyoudai,Space Brothers,宇宙兄弟,99.0,83.0,45484,"Comedy, Sci-Fi, Slice of Life",FINISHED,A-1 Pictures,SPRING,2012.0,https://anilist.co/anime/12431
173584,Maou Gun Saikyou no Majutsushi wa Ningen datta,The Strongest Magician in the Demon Lord's Army was a Human,魔王軍最強の魔術師は人間だった,12.0,62.0,45449,"Action, Adventure, Drama, Fantasy",FINISHED,studio A-CAT,SUMMER,2024.0,https://anilist.co/anime/173584
100855,Emiya-san Chi no Kyou no Gohan,Today's Menu for the Emiya Family,衛宮さんちの今日のごはん,13.0,77.0,45396,"Comedy, Slice of Life, Supernatural",FINISHED,ufotable,WINTER,2018.0,https://anilist.co/anime/100855
170890,THE NEW GATE,THE NEW GATE,THE NEW GATE,12.0,63.0,45371,"Action, Adventure, Fantasy",FINISHED,CLOUDHEARTS,SPRING,2024.0,https://anilist.co/anime/170890
18095,Nourin,No-Rin,のうりん,12.0,64.0,45291,"Comedy, Ecchi, Romance",FINISHED,SILVER LINK.,WINTER,2014.0,https://anilist.co/anime/18095
125124,Rikei ga Koi ni Ochita no de Shoumei shitemita. r=1-sinθ (Heart),"Science Fell in Love, So I Tried to Prove It r=1-sinθ",理系が恋に落ちたので証明してみた。r=1-sinθ（ハート）,12.0,71.0,45279,"Comedy, Romance",FINISHED,Zero-G,SPRING,2022.0,https://anilist.co/anime/125124
11665,Natsume Yuujinchou Shi,Natsume's Book of Friends Season 4,夏目友人帳 肆,13.0,85.0,45251,"Drama, Fantasy, Slice of Life, Supernatural",FINISHED,Brain's Base,WINTER,2012.0,https://anilist.co/anime/11665
10379,Natsume Yuujinchou San,Natsume's Book of Friends Season 3,夏目友人帳 参,13.0,84.0,45234,"Drama, Fantasy, Slice of Life, Supernatural",FINISHED,Brain's Base,SUMMER,2011.0,https://anilist.co/anime/10379
6862,K-ON!: Live House!,K-ON!: Live House!,けいおん! ライブハウス!,1.0,77.0,45230,"Comedy, Music, Slice of Life",FINISHED,Kyoto Animation,WINTER,2010.0,https://anilist.co/anime/6862
106967,Miru Tights,,みるタイツ,12.0,61.0,45093,"Ecchi, Slice of Life",FINISHED,Yokohama Animation Lab,SPRING,2019.0,https://anilist.co/anime/106967
165855,Hananoi-kun to Koi no Yamai,A Condition Called Love,花野井くんと恋の病,12.0,66.0,44968,"Drama, Romance",FINISHED,East Fish Studio,SPRING,2024.0,https://anilist.co/anime/165855
135778,HIGH CARD,HIGH CARD,HIGH CARD,12.0,71.0,44963,"Action, Fantasy",FINISHED,Studio Hibari,WINTER,2023.0,https://anilist.co/anime/135778
139311,Kimi wo Aishita Hitori no Boku e,"To Me, The One Who Loved You",君を愛したひとりの僕へ,1.0,73.0,44941,"Romance, Sci-Fi",FINISHED,TMS Entertainment,FALL,2022.0,https://anilist.co/anime/139311
145815,Noumin Kanren no Skill Bakka Agetetara Naze ka Tsuyoku Natta.,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,農民関連のスキルばっか上げてたら何故か強くなった。,12.0,57.0,44870,"Adventure, Comedy, Fantasy, Slice of Life",FINISHED,studio A-CAT,FALL,2022.0,https://anilist.co/anime/145815
20592,Seikoku no Dragonar,Dragonar Academy,星刻の竜騎士,12.0,59.0,44827,"Comedy, Ecchi, Fantasy",FINISHED,C-Station,SPRING,2014.0,https://anilist.co/anime/20592
141351,Kakegurui Twin,Kakegurui Twin,賭ケグルイ双,6.0,71.0,44792,"Drama, Mystery, Psychological",FINISHED,MAPPA,SUMMER,2022.0,https://anilist.co/anime/141351
102882,3D Kanojo: Real Girl 2,Real Girl 2,3D彼女 リアルガール 2,12.0,74.0,44678,"Comedy, Drama, Romance, Slice of Life",FINISHED,Hoods Entertainment,WINTER,2019.0,https://anilist.co/anime/102882
19775,Sidonia no Kishi,Knights of Sidonia,シドニアの騎士,12.0,73.0,44669,"Action, Fantasy, Mecha, Sci-Fi",FINISHED,POLYGON PICTURES,SPRING,2014.0,https://anilist.co/anime/19775
114302,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,Drug Store in Another World - The Slow Life of a Cheat Pharmacist,チート薬師のスローライフ～異世界に作ろうドラッグストア～,12.0,61.0,44615,"Comedy, Fantasy, Slice of Life",FINISHED,EMT Squared,SUMMER,2021.0,https://anilist.co/anime/114302
5356,Canaan,,カナン,13.0,68.0,44573,"Action, Sci-Fi, Supernatural",FINISHED,P.A.WORKS,SUMMER,2009.0,https://anilist.co/anime/5356
21000,Danna ga Nani wo Itteiru ka Wakaranai Ken 2-sure-me,I Can't Understand What My Husband is Saying 2nd Thread,旦那が何を言っているかわからない件2スレ目,13.0,70.0,44549,"Comedy, Romance, Slice of Life",FINISHED,Seven,SPRING,2015.0,https://anilist.co/anime/21000
113596,Josee to Tora to Sakanatachi,"Josee, the Tiger and the Fish",ジョゼと虎と魚たち,1.0,82.0,154053,"Drama, Romance, Slice of Life",FINISHED,bones,FALL,2020.0,https://anilist.co/anime/113596
18115,Magi: The kingdom of magic,Magi: The Kingdom of Magic,マギ The kingdom of magic,25.0,81.0,153032,"Action, Adventure, Fantasy",FINISHED,A-1 Pictures,FALL,2013.0,https://anilist.co/anime/18115
245,GTO,GTO: Great Teacher Onizuka,GTO,43.0,84.0,152970,"Comedy, Drama, Slice of Life",FINISHED,Studio Pierrot,SUMMER,1999.0,https://anilist.co/anime/245
99426,Sora yori mo Tooi Basho,A Place Further Than the Universe,宇宙よりも遠い場所,13.0,84.0,152921,"Adventure, Comedy, Drama",FINISHED,MADHOUSE,WINTER,2018.0,https://anilist.co/anime/99426
33,Kenpuu Denki Berserk,Berserk,剣風伝奇ベルセルク,25.0,84.0,152702,"Action, Adventure, Drama, Fantasy, Horror, Supernatural",FINISHED,OLM,FALL,1997.0,https://anilist.co/anime/33
21093,Monster Musume no Iru Nichijou,Monster Musume: Everyday Life With Monster Girls,モンスター娘のいる日常,12.0,66.0,152002,"Comedy, Ecchi, Fantasy, Romance",FINISHED,Lerche,SUMMER,2015.0,https://anilist.co/anime/21093
