id,title_romaji,title_english,title_native,format,episodes,duration,source,country,isAdult,score,meanScore,popularity,favourites,trending,genres,tags,status,studio,season,start_year,url
21196,Koutetsujou no Kabaneri,Kabaneri of the Iron Fortress,甲鉄城のカバネリ,TV,12.0,23.0,ORIGINAL,JP,False,70.0,70.0,173713,2430,1,"Action, Drama, Fantasy, Horror, Supernatural","Zombie, Steampunk, Post-Apocalyptic, Trains, Tragedy, Travel, Guns, Pandemic, Female Protagonist, Gore, Revenge, Male Protagonist, Historical, Rotoscoping, Heterosexual, Age Gap, CGI, Kaiju",FINISHED,WIT STUDIO,SPRING,2016,https://anilist.co/anime/21196
103047,Violet Evergarden Movie,Violet Evergarden: the Movie,劇場版 ヴァイオレット・エヴァーガーデン,MOVIE,1.0,140.0,LIGHT_NOVEL,JP,False,87.0,87.0,173655,6871,1,"Drama, Fantasy, Slice of Life","Writing, Female Protagonist, Heterosexual, Tragedy, Age Gap, Work, Foreign, Travel, Rehabilitation, Historical, Military, War, Time Skip, Disability, Steampunk, Family Life, Achronological Order, Ships, Primarily Adult Cast, Agriculture",FINISHED,Kyoto Animation,SUMMER,2020,https://anilist.co/anime/103047
21700,Rokudenashi Majutsu Koushi to Akashic Records,Akashic Records of Bastard Magic Instructor,ロクでなし魔術講師と禁忌教典(アカシックレコード),TV,12.0,25.0,LIGHT_NOVEL,JP,False,68.0,68.0,173524,2672,0,"Action, Comedy, Fantasy","Magic, School, Teacher, Male Protagonist, Primarily Female Cast, Tsundere, Anti-Hero, Kuudere, Gore, Female Harem",FINISHED,LIDENFILMS,SPRING,2017,https://anilist.co/anime/21700
105156,Shinchou Yuusha: Kono Yuusha ga Ore TUEEE Kuse ni Shinchou Sugiru,Cautious Hero: The Hero Is Overpowered but Overly Cautious,慎重勇者～この勇者が俺ＴＵＥＥＥくせに慎重すぎる～,TV,12.0,24.0,LIGHT_NOVEL,JP,False,73.0,73.0,173394,3385,1,"Action, Adventure, Comedy, Fantasy","Isekai, Parody, Magic, Gods, Cultivation, Tragedy, Medieval, Reincarnation, Anti-Hero, Demons, Male Protagonist, Female Protagonist, Meta, Shapeshifting, Tomboy, Dragons, Age Regression, Gore",FINISHED,WHITE FOX,FALL,2019,https://anilist.co/anime/105156
114308,Sword Art Online: Alicization - War of Underworld Part 2,Sword Art Online: Alicization - War of Underworld Part 2,ソードアート・オンライン アリシゼーション War of Underworld 最終章 (2nd Season),TV,11.0,24.0,LIGHT_NOVEL,JP,False,74.0,74.0,173376,3655,1,"Action, Adventure, Fantasy","Virtual World, Female Protagonist, Heterosexual, War, Artificial Intelligence, Video Games, Swordplay, Primarily Female Cast, Isekai, Primarily Teen Cast, Female Harem, Male Protagonist, Conspiracy, Military, Time Skip, Medieval, Amnesia, Memory Manipulation, Gore, Reincarnation, Gods, Cult, Rape, Space Opera, Space",FINISHED,A-1 Pictures,SUMMER,2020,https://anilist.co/anime/114308
1210,NHK ni Youkoso!,Welcome to the N-H-K,N・H・Kにようこそ！,TV,24.0,24.0,LIGHT_NOVEL,JP,False,82.0,82.0,172858,8531,5,"Comedy, Drama, Psychological, Romance, Slice of Life","Hikikomori, Rehabilitation, Male Protagonist, Otaku Culture, Conspiracy, Denpa, Philosophy, Suicide, Primarily Adult Cast, Coming of Age, Satire, Tragedy, Psychosexual, Disability, Video Games, Heterosexual, Software Development, Nudity, Female Protagonist, Politics, Drugs, Trains, Primarily Male Cast, Youkai",FINISHED,GONZO,SUMMER,2006,https://anilist.co/anime/1210
11887,Kokoro Connect,Kokoro Connect,ココロコネクト,TV,13.0,24.0,LIGHT_NOVEL,JP,False,75.0,75.0,172629,2768,3,"Drama, Romance, Slice of Life, Supernatural","School, Coming of Age, Body Swapping, School Club, Urban Fantasy, Love Triangle, Primarily Female Cast, Age Regression, Heterosexual, Male Protagonist, Female Protagonist, Gender Bending, Ensemble Cast, Tsundere, Philosophy, Chuunibyou, LGBTQ+ Themes",FINISHED,SILVER LINK.,SUMMER,2012,https://anilist.co/anime/11887
21595,Sakamoto desu ga?,Haven't You Heard? I'm Sakamoto,坂本ですが?,TV,12.0,24.0,MANGA,JP,False,73.0,73.0,172522,2295,4,"Comedy, Slice of Life","Surreal Comedy, School, Episodic, Male Protagonist, Delinquents, Primarily Teen Cast, Coming of Age, Seinen, Bullying, Tragedy",FINISHED,Studio DEEN,SPRING,2016,https://anilist.co/anime/21595
457,Mushishi,MUSHI-SHI,蟲師,TV,26.0,25.0,MANGA,JP,False,85.0,85.0,172249,7178,3,"Adventure, Fantasy, Mystery, Psychological, Slice of Life, Supernatural","Environmental, Youkai, Mythology, Episodic, Philosophy, Rural, Travel, Male Protagonist, Animals, Iyashikei, Outdoor Activities, Exorcism, Tragedy, Snowscape, Seinen, Historical, Wilderness, Eco-Horror, Coastal, Primarily Adult Cast, Amnesia, Cult, Monster Girl, Suicide",FINISHED,Artland,FALL,2005,https://anilist.co/anime/457
4654,Toaru Majutsu no Index,A Certain Magical Index,とある魔術の禁書目録,TV,24.0,23.0,LIGHT_NOVEL,JP,False,70.0,70.0,172112,2058,0,"Action, Sci-Fi, Supernatural","Magic, Super Power, Urban Fantasy, Urban, Tsundere, Male Protagonist, Nun, Amnesia, Female Harem, Artificial Intelligence, Kuudere, Slapstick, Gore",FINISHED,J.C.STAFF,FALL,2008,https://anilist.co/anime/4654
